ID,Title,Author,Year,Format,File
1,Rahasia Kak Risa,Ary Nilandari,2022,PDF,ebook/klZzPVHYZPXpjYYyrYBxx6o86iJ9ElvBKgyeDfXw_11zon.pdf
2,Tarik! Dorong!,Puspa Im,2023,PDF,ebook/Tarik! Dorong!.pdf
3,Menunggu Bulan Purnama,Atifah Rabbani,2023,PDF,ebook/Menunggu Bulan Purnama.pdf
4,Uang Apa ini,Eni Wulansari,2023,PDF,ebook/UangApaIni.pdf
5,Cerita dari Bawah Laut,Felishia,2022,PDF,ebook/Cerita dari Bawah Laut.pdf
6,Bagaimana Caranya,Afifah Nada P.R.,2022,PDF,ebook/Bagaimana Caranya.pdf
7,Kucarikan Untukmu!,Atik Setyowati,2023,PDF,ebook/Kucarikan Untukmu!.pdf
8,Ela si Kecil yang Baik Hati,Zuddi Ichwan Priyana,2022,PDF,ebook/Ela si Kecil yang Baik Hati.pdf
9,Astronaut Cilik,Pritha Leestia,2023,PDF,ebook/Astronaut Cilik.pdf
10,Alya dan Kacamata Kak Livi,Laila,2022,PDF,ebook/Alya dan Kacamata Kak Livi.pdf
11,Beyond The Bookshelf (Virtual Reality As A Tool For Library),Dr.Tengku Siti Meriam,2025,PDF,ebook/Beyond The Bookshelf (Virtual Reality As A Tool For Library).pdf
